ЗНП,Вагон №,Накладная №
496,28001584,ЭЛ573954
496,28001584,ЭЛ653560
496,28029841,ЭЛ573954
496,28029841,ЭЛ653560
496,28050045,ЭЛ573954
496,28050045,ЭЛ640965
496,28056489,ЭЛ573954
496,28056489,ЭЛ637062
429,28349975,ЭЛ512092
428,28840502,ЭЛ421592
428,28840502,ЭЛ488640
428,28841427,ЭЛ438506
428,28841427,ЭЛ519622
428,28841914,ЭЛ438468
428,28841914,ЭЛ519618
428,28841989,ЭЛ438777
428,28841989,ЭЛ519614
428,28842227,ЭЛ443869
428,28842227,ЭЛ519613
428,28842235,ЭЛ421588
428,28842235,ЭЛ488635
4,28846350,ЭЛ838902
4,28846350,ЭЛ879965
48,28846350,20332543
48,28846467,20313032
48,28846467,10039338
48,28846467,20355355
48,28846566,20302497
48,28846566,10035269
66,28846566,20346719
,28846582,ЭЛ861482
,28846582,ЭЛ895782
66,28846582,20342153
45,28846624,ЭЛ871770
45,28846624,ЭЛ908970
66,28846624,20333935
48,28846632,20313010
48,28846632,10039338
48,28846632,20355333
48,28846673,20302504
48,28846673,10035399
66,28846673,20362032
,28847085,ЭЛ732508
,28847085,ЭЛ767800
4,28847085,ЭЛ823329
4,28847085,ЭЛ879957
48,28847085,20332598
48,28850014,20313026
48,28850014,10039338
48,28850014,20355363
4,28850170,ЭЛ823352
4,28850170,ЭЛ879946
48,28850170,20332604
,28850204,ЭЛ876291
,28850204,ЭЛ927945
48,28850238,20313047
48,28850238,10042167
66,28850287,20336195
,28850303,ЭЛ871766
,28850303,ЭЛ913120
,28850303,ЭЛ953903
48,28850345,20302512
48,28850345,10035269
66,28850345,20356521
4,28850378,ЭЛ823327
4,28850378,ЭЛ886611
53,28850378,20322453
48,28850535,20313063
48,28850535,10044437
48,28850543,20313073
48,28850543,10044437
48,28850816,20302523
48,28850816,10035269
,28851012,ЭЛ773455
4,28851046,ЭЛ856792
4,28851046,ЭЛ899386
48,28851046,20332606
66,28851319,20355482
,28851418,ЭЛ863380
,28851418,ЭЛ892804
,28851418,ЭЛ916531
,28851418,ЭЛ967333
4,28851459,ЭЛ824396
4,28851459,ЭЛ869551
53,28851459,20307631
4,28858249,ЭЛ834120
4,28858249,ЭЛ886603
4,28858249,ЭЛ914109
4,28858249,ЭЛ941027
48,28858249,20355327
4,28858272,ЭЛ823334
4,28858272,ЭЛ864041
53,28858272,20307627
55,28858330,ЭЛ911497
55,28858330,ЭЛ932685
48,28858330,20355374
4,28860138,ЭЛ824394
4,28860138,ЭЛ869575
53,28860138,20313175
428,28860328,ЭЛ421569
428,28860328,ЭЛ488632
66,28866069,20342210
4,28867349,ЭЛ823332
4,28867349,ЭЛ879960
48,28867349,20332596
,29001757,12046232
482,29003449,ЭЛ559657
482,29003449,ЭЛ601438
482,29019338,ЭЛ559647
482,29019338,ЭЛ601419
,29075272,ЭЛ423598
,29103280,37102804
,29245008,36875142
428,29380482,ЭЛ443875
428,29380482,ЭЛ520878
428,29386778,ЭЛ465197
428,29386778,ЭЛ538686
428,29386802,ЭЛ421554
428,29386802,ЭЛ495572
428,29386810,ЭЛ465180
428,29386810,ЭЛ538678
428,29388931,ЭЛ465188
428,29388931,ЭЛ538676
543,29875796,ЭЛ681017
543,29875796,ЭЛ717196
543,29938396,ЭЛ681020
543,29938396,ЭЛ716373
375,52480548,36814613
375,52480548,ЭЛ531596
462,52729365,20071123
462,52729365,00428668
488,52729365,20098339
488,52729365,00428702
488,52729365,20132158
488,52729365,00428740
519,52729365,20177201
519,52729365,10005970
,52729365,ЭЛ770095
25,52729738,20248449
25,52729738,10020445
462,52729761,20073824
462,52729761,00428673
462,52729761,ЭЛ568644
25,52729845,20248449
25,52729845,nan
,52729969,20284593
,52729969,10030120
488,52730108,20143895
488,52730108,00428780
551,52730108,10267960
551,52730108,37180529
462,52730132,20073824
462,52730132,00428673
462,52730132,ЭЛ568644
553,52730793,20214589
553,52730793,nan
553,52730793,10011164
462,52730801,20071123
462,52730801,00428668
488,52730801,20098339
488,52730801,00428702
488,52730801,ЭЛ595994
462,52730843,20071123
462,52730843,nan
462,52730843,00428669
488,52730884,20143940
488,52730884,00428780
551,52730884,10267960
551,52730884,37180529
,52730918,20284593
,52730918,10030120
462,52730934,20073824
462,52730934,00022134
462,52730934,ЭЛ575145
77,52730983,20320776
77,52730983,10037814
462,52731098,20073824
462,52731098,00022135
462,52731098,ЭЛ566027
25,52731171,20248448
25,52731171,10020541
,52731189,ЭЛ500587
462,52731296,20071123
462,52731296,00428667
462,52731296,ЭЛ556299
488,52731395,20143940
488,52731395,00428780
551,52731395,10267960
551,52731395,37180529
462,52731445,20071123
462,52731445,00428667
488,52731445,20098339
488,52731445,00428702
488,52731445,20132158
488,52731445,00428740
519,52731445,20173638
519,52731445,10001876
519,52731445,ЭЛ733899
77,52731536,20358677
488,52731643,20143895
488,52731643,00428781
462,52731700,20073857
462,52731700,00428677
462,52731700,ЭЛ566436
488,52731742,20143895
488,52731742,00428780
551,52731742,10267960
551,52731742,37180529
462,52731775,20073824
462,52731775,00428673
462,52731775,ЭЛ568644
462,52731775,ЭЛ788305
25,52731775,20248449
25,52731775,nan
77,52731916,20358677
488,52731957,20143940
488,52731957,00428780
551,52731957,10267960
551,52731957,37180529
546,52732070,20204160
546,52732070,10010480
546,52732336,20204160
546,52732336,10010481
25,52732484,20248449
25,52732484,10020426
462,52741378,20073824
462,52741378,00022135
488,52741378,20122568
488,52741378,00428731
488,52741378,ЭЛ641819
462,52741394,20073824
462,52741394,00022134
462,52741394,ЭЛ566027
551,52741394,10267960
551,52741394,37180529
,52741923,ЭЛ602626
,52741923,ЭЛ605145
488,52741923,20143895
488,52741923,00428781
488,52741923,ЭЛ878302
77,52741923,20320776
77,52741923,10037814
,52741931,20284593
,52741931,10030120
462,52741956,20073824
462,52741956,00022134
488,52741956,20107519
488,52741956,00428717
488,52741956,20138683
488,52741956,00428762
